;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-miR-30a-5p;27,632;9,296;14,859;18,314;21,980;22,738;17,241;22,939;111,177
hsa-miR-30b-3p;20;7;10;14;11;12;16;11;63
hsa-miR-30b-5p;1,416;856;900;1,042;1,045;1,014;993;894;4,467
hsa-miR-30c-1-3p;21;3;13;9;15;21;9;25;107
hsa-miR-30c-2-3p;225;43;109;149;241;262;128;312;1,176
hsa-miR-30c-5p;4,545;1,812;2,297;3,175;3,926;4,290;2,683;4,340;17,644
hsa-miR-30d-3p;142;54;97;119;101;82;81;87;443
hsa-miR-30d-5p;11,433;3,185;6,968;10,257;6,688;7,185;8,834;6,426;36,637
hsa-miR-30e-3p;303;105;191;187;308;186;177;217;1,109
hsa-miR-30e-5p;5,595;3,003;3,689;5,168;5,646;6,021;4,239;5,061;28,080
hsa-miR-31-3p;788;540;503;612;828;845;567;756;3,662
hsa-miR-31-5p;68,592;24,513;38,759;57,928;47,991;52,985;53,114;55,136;247,688
hsa-miR-3115;2;1;2;0;4;2;1;3;14
hsa-miR-3116;4;2;1;3;5;4;0;3;20
hsa-miR-3118;51;20;35;42;54;59;33;51;271
hsa-miR-3122;48;9;27;32;26;31;29;36;133
hsa-miR-3124-3p;2;2;2;0;2;5;1;3;18
hsa-miR-3127-5p;2;0;3;5;4;1;3;4;15
hsa-miR-3128;7;4;7;8;9;3;1;5;25
hsa-miR-3129-3p;18;12;9;30;12;15;20;7;73
hsa-miR-3129-5p;20;3;11;6;13;4;11;8;49
hsa-miR-3130-3p;3;0;2;1;1;3;5;5;24
hsa-miR-3130-5p;4;3;10;7;4;5;8;7;25
hsa-miR-3132;1;1;2;0;2;1;0;4;11
hsa-miR-3133;7;1;4;11;9;8;8;6;44
hsa-miR-3134;1;1;3;2;1;3;0;3;14
hsa-miR-3135b;9;4;11;21;4;3;9;8;32
hsa-miR-3136-3p;7;3;7;7;9;23;5;2;48
hsa-miR-3136-5p;5;3;9;10;0;6;5;7;19
hsa-miR-3138;5;0;3;9;3;3;3;4;25
hsa-miR-3140-3p;7;0;1;6;5;3;6;2;21
hsa-miR-3141;86;22;84;208;38;25;119;50;201
hsa-miR-3143;1;0;1;0;5;1;1;3;18
hsa-miR-3144-3p;12;11;13;15;19;11;15;8;58
hsa-miR-3144-5p;31;4;11;28;20;8;19;33;125
hsa-miR-3145-3p;3;0;2;1;3;0;4;1;14
hsa-miR-3146;1;1;1;5;5;5;2;2;15
